,pkg_idx,source_idx,target_idx,source_name,target_name,source_version,target_version,kind,os_platform
13,201,22,,openglada,gnat,0.6.0,<8,BUILD,
30,278,44,,vss,gnat,22.0.0-20210830,>=2020|(>=11 & <=2000),BUILD,
31,278,47,,vss,gnat,22.0.0,>=2020|(>=11 & <=2000),BUILD,
194,178,162,,matreshka_league,gnat,21.0.0,<2000,BUILD,macos
196,178,163,,matreshka_league,gnat,20.1.0,<11|(>=2000 & <2021),BUILD,...
230,284,191,,xia,gnat,1.4.0,>11.0.0,BUILD,
233,288,196,,yeison,gnat,0.1.0,>=11.2 & <2000,BUILD,
252,232,207,,sdlada,gnat,2.3.1,=2019 | <=11.0.0,BUILD,
286,220,220,,qoi,gnat,0.1.0,>=11.2,BUILD,
312,138,256,,libgpr,gnat,21.0.0,/=2021,BUILD,
314,138,257,,libgpr,gnat,22.0.0,/=2020,BUILD,
369,276,337,,uxstrings,gnat,0.2.0+alpha-20210405,>=2020,BUILD,
370,276,338,,uxstrings,gnat,0.1.2+alpha-20210226,>=2020,BUILD,
371,276,339,,uxstrings,gnat,0.3.0+alpha-20220226,>=2021,BUILD,
374,286,346,,xmlada,gnat,22.0.0,>=11,BUILD,
396,257,363,,startup_gen,gnat,21.0.0,>=10,BUILD,
400,22,372,,asis,gnat,2019.0.0,=2019,BUILD,
402,22,373,,asis,gnat,2018.0.0,=2018,BUILD,
404,22,374,,asis,gnat,2017.0.0,=2017,BUILD,
409,246,383,,simple_components,gnat,4.42.0,/=2021 & <11,BUILD,
411,246,383,,simple_components,unixODBC,4.42.0,^2.3,BUILD,
481,252,444,,spat,case(toolchain),1.0.0,{'system': {'gnatcoll': '>=19 & <2000'}},BUILD,
483,252,445,,spat,case(toolchain),1.3.0,{'system': {'gnatcoll': '>=19'}},BUILD,
485,252,446,,spat,case(toolchain),1.2.1,{'system': {'gnatcoll': '>=19 & <2000'}},BUILD,
486,251,449,,sparknacl,gnat,2.0.0,>=2020,BUILD,
487,251,450,,sparknacl,gnat,3.0.0,>=11.2.1,BUILD,
488,251,451,,sparknacl,gnat,1.0.0,>=2020,BUILD,
489,250,455,,spark_unbound,gnat,0.2.1,(>=9.3.1 & <2000) | >=2021,BUILD,
530,36,474,,bbqueue,gnat,0.1.0,>=10,BUILD,
532,36,475,,bbqueue,gnat,0.3.0,>=10,BUILD,
534,36,476,,bbqueue,gnat,0.2.0,>=10,BUILD,
553,244,487,,shoot_n_loot,gnat,1.0.0,^10,BUILD,
556,28,491,,aws,gnat,21.0.0,>=9,BUILD,
559,230,495,,saatana,gnat,2.0.2,^2020,BUILD,
574,99,511,,iterators,gnat,0.1.0,>=10,BUILD,
