,pkg_idx,source_idx,target_idx,source_name,target_name,source_version,target_version,kind
20,24,118,,Alien, ,0.5.1-1,,BUILD
21,24,119,,Alien, ,0.5.0-1,,BUILD
22,24,120,,Alien, ,0.4.1-1,,BUILD
23,28,129,,altdoc, argparse,0.4.1-1,,BUILD
24,28,129,,altdoc, filekit,0.4.1-1,,BUILD
25,28,129,,altdoc, runkit,0.4.1-1,,BUILD
26,28,129,,altdoc,  ,0.4.1-1,,BUILD
27,28,130,,altdoc, argparse,0.3-1,,BUILD
28,28,130,,altdoc, filekit,0.3-1,,BUILD
29,28,130,,altdoc, runkit,0.3-1,,BUILD
30,28,130,,altdoc,  ,0.3-1,,BUILD
31,28,131,,altdoc, argparse,0.2-1,,BUILD
32,28,131,,altdoc, filekit,0.2-1,,BUILD
33,28,131,,altdoc, runkit,0.2-1,,BUILD
34,28,131,,altdoc,  ,0.2-1,,BUILD
35,28,132,,altdoc, argparse,0.1-1,,BUILD
36,28,132,,altdoc, filekit,0.1-1,,BUILD
37,28,132,,altdoc, runkit,0.1-1,,BUILD
38,28,132,,altdoc,  ,0.1-1,,BUILD
39,58,222,,argcheck, lua >= 5.1 ,scm-1,,BUILD
40,72,306,,astar, lua >= 5.1 ,0.1.1-1,,BUILD
41,72,307,,astar, lua >= 5.1 ,0.1.0-1,,BUILD
42,99,382,,awestore, lua >= 5.3,dev-1,,BUILD
43,99,382,,awestore, luaposix >= 35.0 ,dev-1,,BUILD
45,99,383,,awestore, luaposix >= 35.0 ,0.3.0-1,,BUILD
47,99,384,,awestore, luaposix >= 35.0 ,0.2.3-1,,BUILD
49,99,385,,awestore, luaposix >= 35.0 ,0.2.2-1,,BUILD
51,99,386,,awestore, luaposix >= 35.0 ,0.2.1-1,,BUILD
53,99,387,,awestore, luaposix >= 35.0 ,0.2.0-1,,BUILD
55,99,388,,awestore, luaposix >= 35.0 ,0.1.0-1,,BUILD
86,291,1084,,Cosmo, lpeg >= 0.9 ,14.03.04-1,,BUILD
87,291,1085,,Cosmo, lpeg >= 0.9 ,13.01.30-1,,BUILD
88,291,1086,,Cosmo, lpeg >= 0.9 ,10.04.06-1,,BUILD
89,291,1087,,Cosmo, lpeg >= 0.9 ,10.03.31-1,,BUILD
90,291,1088,,Cosmo, lpeg >= 0.9 ,9.09.22-1,,BUILD
91,291,1089,,Cosmo, lpeg >= 0.8.1 ,8.04.14-1,,BUILD
92,291,1090,,Cosmo, lpeg >= 0.8.1 ,8.04.04-1,,BUILD
93,291,1091,,Cosmo, ,8.02.18-1,,BUILD
94,291,1092,,Cosmo, lpeg >= 0.8.1 ,current-1,,BUILD
95,291,1093,,Cosmo, lpeg >= 0.9 ,16.06.04-1,,BUILD
96,291,1094,,Cosmo, lpeg >= 0.9 ,14.03.04-1,,BUILD
97,291,1095,,Cosmo, lpeg >= 0.9 ,13.01.30-1,,BUILD
98,291,1096,,Cosmo, lpeg >= 0.9 ,10.04.06-1,,BUILD
99,291,1097,,Cosmo, lpeg >= 0.9 ,10.03.31-1,,BUILD
100,291,1098,,Cosmo, lpeg >= 0.9 ,9.09.22-1,,BUILD
101,291,1099,,Cosmo, lpeg >= 0.8.1 ,8.04.14-1,,BUILD
102,291,1100,,Cosmo, lpeg >= 0.8.1 ,8.04.04-1,,BUILD
103,291,1101,,Cosmo, ,8.02.18-1,,BUILD
104,291,1102,,Cosmo, lpeg >= 0.8.1 ,current-1,,BUILD
105,300,1118,,Coxpcall, ,scm-1,,BUILD
106,300,1119,,Coxpcall, ,cvs-2,,BUILD
107,300,1120,,Coxpcall, ,cvs-1,,BUILD
108,300,1121,,Coxpcall, ,1.15.0-1,,BUILD
109,300,1122,,Coxpcall, ,1.14.0-2,,BUILD
110,300,1124,,Coxpcall, ,1.13.0-1,,BUILD
111,300,1125,,Coxpcall, ,1.12.0-1,,BUILD
112,300,1126,,Coxpcall, ,1.12.0rc1-1,,BUILD
113,300,1127,,Coxpcall, ,1.11.0-1,,BUILD
114,300,1128,,Coxpcall, ,scm-2,,BUILD
115,300,1129,,Coxpcall, ,scm-1,,BUILD
116,300,1130,,Coxpcall, ,cvs-2,,BUILD
117,300,1131,,Coxpcall, ,cvs-1,,BUILD
118,300,1132,,Coxpcall, ,1.17.0-1,,BUILD
119,300,1133,,Coxpcall, ,1.16.0-1,,BUILD
120,300,1134,,Coxpcall, ,1.15.0-1,,BUILD
121,300,1135,,Coxpcall, ,1.14.0-2,,BUILD
122,300,1137,,Coxpcall, ,1.13.0-1,,BUILD
123,300,1138,,Coxpcall, ,1.12.0-1,,BUILD
124,300,1139,,Coxpcall, ,1.12.0rc1-1,,BUILD
125,300,1140,,Coxpcall, ,1.11.0-1,,BUILD
126,321,1223,,csv, lua >= 5.1 ,1-1,,BUILD
127,321,1224,,csv, lua >= 5.1 ,scm-1,,BUILD
128,321,1225,,csv, lua >= 5.1 ,1-1,,BUILD
129,361,1358,,debugkit, inspect,1.2.3-1,,BUILD
130,361,1358,,debugkit, ansicolors,1.2.3-1,,BUILD
131,361,1358,,debugkit,  ,1.2.3-1,,BUILD
132,361,1359,,debugkit, inspect,1.2.2-1,,BUILD
133,361,1359,,debugkit, ansicolors,1.2.2-1,,BUILD
134,361,1359,,debugkit,  ,1.2.2-1,,BUILD
135,361,1360,,debugkit, inspect,1.2.1-1,,BUILD
136,361,1360,,debugkit, ansicolors,1.2.1-1,,BUILD
137,361,1360,,debugkit,  ,1.2.1-1,,BUILD
177,544,2555,,flot,'lua >= 5.1',1.0-1,,BUILD
178,555,2611,,flyzip,lua >= 5.2,1.0-1,,BUILD
179,555,2611,,flyzip, < 5.4,1.0-1,,BUILD
180,555,2611,,flyzip, lzlib >= 0.4.work3-1,1.0-1,,BUILD
191,604,2763,,ggram, < 5.4,1.0-1,,BUILD
192,604,2763,,ggram, copas,1.0-1,,BUILD
193,604,2763,,ggram, luasec ,1.0-1,,BUILD
237,651,2881,,guard,lua >= 5.1,0.0.1-1,,BUILD
238,651,2881,,guard, <=5.3,0.0.1-1,,BUILD
239,663,2963,,haricot, lua >= 5.1,1.2-1,,BUILD
240,663,2963,,haricot, luasocket ,1.2-1,,BUILD
245,781,3294,,iwi,lua >= 5.1,0.1-0,,BUILD
246,781,3294,,iwi, < 5.3,0.1-0,,BUILD
247,818,3432,,kikgit, lrunkit>=2.1,1.0.1-1,,BUILD
248,818,3432,,kikgit, argparse,1.0.1-1,,BUILD
249,818,3432,,kikgit,  ,1.0.1-1,,BUILD
250,818,3433,,kikgit, lrunkit>=2.1,1.0-1,,BUILD
251,818,3433,,kikgit, argparse,1.0-1,,BUILD
252,818,3433,,kikgit,  ,1.0-1,,BUILD
265,872,3682,,kong-oauth2-ext, ,0.0.1-0,,BUILD
266,872,3683,,kong-oauth2-ext, ,0.0.1,,BUILD
424,1392,5841,,lsnes-timer, < 5.5,dev-1,,BUILD
426,1414,5942,,ltypekit-parser, debugkit,7.0.2-1,,BUILD
427,1414,5942,,ltypekit-parser,  ,7.0.2-1,,BUILD
428,1414,5943,,ltypekit-parser, debugkit,7.0.1-1,,BUILD
429,1414,5943,,ltypekit-parser,  ,7.0.1-1,,BUILD
430,1414,5944,,ltypekit-parser, debugkit,7.0-1,,BUILD
431,1414,5944,,ltypekit-parser,  ,7.0-1,,BUILD
447,1569,6583,,lua-dbus, ldbus >= scm-0 ,scm-0,,B
475,1787,7256,,luaLSX, < 5.4,1.0-1,,BUILD
519,2341,9475,,luma, lpeg >= 0.7,scm-1,,BUILD
520,2341,9475,,luma, cosmo ,scm-1,,BUILD
521,2341,9476,,luma, lpeg >= 0.10,0.2-1,,BUILD
522,2341,9476,,luma, cosmo ,0.2-1,,BUILD
523,2341,9477,,luma, lpeg >= 0.7 ,0.1-2,,BUILD
524,2341,9478,,luma, lpeg >= 0.7,scm-1,,BUILD
525,2341,9478,,luma, cosmo ,scm-1,,BUILD
526,2341,9479,,luma, lpeg >= 0.10,0.2-1,,BUILD
527,2341,9479,,luma, cosmo ,0.2-1,,BUILD
528,2341,9480,,luma, lpeg >= 0.7 ,0.1-2,,BUILD
529,2409,9735,,lutf8proc, lua >= 5.1,0.1.0-1,,BUILD
530,2409,9735,,lutf8proc, <= 5.4 ,0.1.0-1,,BUIL
545,2525,10254,,MiniFS,luafilesystem,1.1.3-1,,BUILD
546,2525,10255,,MiniFS,luafilesystem,git-1,,BUILD
547,2526,10256,,mirrorfs, lua >= 5.3,1.0-1,,BUILD
548,2526,10256,,mirrorfs, luaposix,1.0-1,,BUILD
549,2526,10256,,mirrorfs, flu ,1.0-1,,BUILD
550,2586,10414,,mk, wsapi == cvs ,scm-1,,BUILD
551,2586,10415,,mk, wsapi == cvs ,scm-1,,BUILD
552,2598,10471,,Mockagne, lua >= 5.1,1.0-2,,BUILD
553,2598,10471,,Mockagne, <= 5.4 ,1.0-2,,BUILD
554,2644,10665,,mpack, lua >= 5.1 ,0.8.3-1,,BUILD
555,2647,10680,,mpris, lua >= 5.1,scm-0,,BUILD
556,2647,10680,,mpris, lua-dbus >= scm-0 ,scm-0,,BUILD
558,2697,10862,,netfoxpack, lua >= 5.1 ,0.1.3-1,,BUILD
559,2697,10863,,netfoxpack, lua >= 5.1 ,0.1.2-1,,BUILD
560,2697,10864,,netfoxpack, lua >= 5.1 ,0.1.1-1,,BUILD
566,2799,11163,,Orbit, 'luafilesystem >= 1.5.0',cvs-3,,BUILD
567,2799,11163,,Orbit, 'lpeg >= 0.9' ,cvs-3,,BUILD
568,2799,11164,,Orbit, 'luafilesystem >= 1.5.0',cvs-2,,BUILD
569,2799,11164,,Orbit, 'lpeg >= 0.9',cvs-2,,BUILD
570,2799,11164,,Orbit, 'wsapi >= 1.3.4',cvs-2,,BUILD
571,2799,11164,,Orbit, 'mk' ,cvs-2,,BUILD
572,2799,11165,,Orbit, 'wsapi cvs',cvs-1,,BUILD
573,2799,11165,,Orbit, 'luafilesystem cvs',cvs-1,,BUILD
574,2799,11165,,Orbit, 'cosmo current' ,cvs-1,,BUILD
575,2799,11169,,Orbit, 'luafilesystem >= 1.5.0',2.2.0-2,,BUILD
576,2799,11169,,Orbit, 'lpeg >= 0.9',2.2.0-2,,BUILD
577,2799,11169,,Orbit, 'wsapi-xavante >= 1.3',2.2.0-2,,BUILD
578,2799,11169,,Orbit, 'cosmo >= 10.04.06' ,2.2.0-2,,BUILD
579,2799,11170,,Orbit, 'luafilesystem >= 1.5.0',2.2.0-1,,BUILD
