:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version479488cargo,reshape,cargo,0.1.1,Version,https://github.com/fabianlindfors/reshape,https://github.com/fabianlindfors/reshape
version4632homebrew,reshape,homebrew,0.6.0,Version,https://github.com/fabianlindfors/reshape/archive/v0.6.0.tar.gz,https://github.com/fabianlindfors/reshape
version283conan,bitmagic,conan,7.11.2,Version,,http://bitmagic.io
version114vcpkg,bitmagic,vcpkg,7.5.0,Version,,http://bitmagic.io
version915homebrew,cpr,homebrew,1.7.2,Version,https://github.com/libcpr/cpr/archive/1.7.2.tar.gz,https://docs.libcpr.org/
version670conan,cpr,conan,1.8.1,Version,,https://docs.libcpr.org/
version736homebrew,cjson,homebrew,1.7.15,Version,https://github.com/DaveGamble/cJSON/archive/v1.7.15.tar.gz,https://github.com/DaveGamble/cJSON
version481conan,cjson,conan,1.7.15,Version,,https://github.com/DaveGamble/cJSON
version342vcpkg,cjson,vcpkg,1.7.15,Version,,https://github.com/DaveGamble/cJSON
version2561conan,plog,conan,1.1.5,Version,,https://github.com/SergiusTheBest/plog
version1349vcpkg,plog,vcpkg,1.1.5,Version,,https://github.com/SergiusTheBest/plog
version1679chromebrew,netperf,chromebrew,2.7.0,Version,https://github.com/HewlettPackard/netperf/archive/netperf-2.7.0.tar.gz,https://hewlettpackard.github.io/netperf/
version3763homebrew,netperf,homebrew,2.7.0,Version,https://github.com/HewlettPackard/netperf/archive/netperf-2.7.0.tar.gz,https://hewlettpackard.github.io/netperf/
version2519conan,pcre2,conan,10.40,Version,,https://www.pcre.org/
version4136homebrew,pcre2,homebrew,10.40,Version,https://github.com/PhilipHazel/pcre2/releases/download/pcre2-10.40/pcre2-10.40.tar.bz2,https://www.pcre.org/
version1990conan,lzip,conan,1.22,Version,,https://www.nongnu.org/lzip/
version3330homebrew,lzip,homebrew,1.23,Version,https://download-mirror.savannah.gnu.org/releases/lzip/lzip-1.23.tar.gz,https://www.nongnu.org/lzip/
version1887conan,libuv,conan,1.44.1,Version,,https://libuv.org
version3135homebrew,libuv,homebrew,1.44.1,Version,https://github.com/libuv/libuv/archive/v1.44.1.tar.gz,https://libuv.org
version499chromebrew,tmux,chromebrew,2.9,Version,https://github.com/tmux/tmux/releases/download/2.9/tmux-2.9.tar.gz,https://tmux.github.io/
version5406homebrew,tmux,homebrew,3.2a,Version,https://github.com/tmux/tmux/releases/download/3.2a/tmux-3.2a.tar.gz,https://tmux.github.io/
version3951homebrew,opencc,homebrew,1.1.3,Version,https://github.com/BYVoid/OpenCC/archive/ver.1.1.3.tar.gz,https://github.com/BYVoid/OpenCC
version1252vcpkg,opencc,vcpkg,2020-04-26,Version,,https://github.com/BYVoid/OpenCC
version246chromebrew,libproxy,chromebrew,5d5e13ddc47a2a061c595c1356d7d07d78cf597f,Version,https://github.com/libproxy/libproxy.git,https://libproxy.github.io/libproxy/
version3028homebrew,libproxy,homebrew,0.4.17,Version,https://github.com/libproxy/libproxy/archive/0.4.17.tar.gz,https://libproxy.github.io/libproxy/
version950chromebrew,curl,chromebrew,7.82.0,Version,https://download.qt.io/official_releases/qtchooser/qtchooser-66.tar.xz,https://curl.se/
version429vcpkg,curl,vcpkg,7.82.0,Version,,https://curl.se/
version1000chromebrew,hello,chromebrew,2.10,Version,https://ftpmirror.gnu.org/hello/hello-2.10.tar.gz,https://www.gnu.org/software/hello/
version2196homebrew,hello,homebrew,2.12,Version,https://ftp.gnu.org/gnu/hello/hello-2.12.tar.gz,https://www.gnu.org/software/hello/
version285chromebrew,libcanberra,chromebrew,0.30-1,Version,http://pkgs.fedoraproject.org/repo/pkgs/libcanberra/libcanberra-0.30.tar.xz/34cb7e4430afaf6f447c4ebdb9b42072/libcanberra-0.30.tar.xz,http://0pointer.de/lennart/projects/libcanberra/
version848vcpkg,libcanberra,vcpkg,0.30,Version,,http://0pointer.de/lennart/projects/libcanberra/
version1644conan,libfuse,conan,3.10.5,Version,,https://github.com/libfuse/libfuse
