:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version4819cargo,treap,cargo,0.0.2,Version,https://github.com/mbudde/treap-rs,https://github.com/mbudde/treap-rs
version492541cargo,varnish,cargo,0.0.8,Version,https://github.com/gquintard/varnish-rs,https://github.com/gquintard/varnish-rs
version479488cargo,reshape,cargo,0.1.1,Version,https://github.com/fabianlindfors/reshape,https://github.com/fabianlindfors/reshape
version4632homebrew,reshape,homebrew,0.6.0,Version,https://github.com/fabianlindfors/reshape/archive/v0.6.0.tar.gz,https://github.com/fabianlindfors/reshape
version186027cargo,metar,cargo,0.1.4,Version,https://github.com/lilopkins/metar-rs,https://github.com/lilopkins/metar-rs
version339809cargo,banner,cargo,0.0.1,Version,https://github.com/stuartthompson/banner,https://github.com/stuartthompson/banner
version264488cargo,miniaudio,cargo,0.8.1,Version,https://github.com/ExPixel/miniaudio-rs,https://github.com/ExPixel/miniaudio-rs
version88905cargo,kcat,cargo,0.1.4,Version,https://github.com/tckastanek/kcat,https://github.com/tckastanek/kcat
version482076cargo,vari,cargo,0.1.5,Version,https://github.com/azur1s/vari,https://github.com/azur1s/vari
version283conan,bitmagic,conan,7.11.2,Version,,http://bitmagic.io
version114vcpkg,bitmagic,vcpkg,7.5.0,Version,,http://bitmagic.io
version915homebrew,cpr,homebrew,1.7.2,Version,https://github.com/libcpr/cpr/archive/1.7.2.tar.gz,https://docs.libcpr.org/
version670conan,cpr,conan,1.8.1,Version,,https://docs.libcpr.org/
version375180cargo,kitten,cargo,0.1.3,Version,https://github.com/majikandy/kitten,https://github.com/majikandy/kitten
version202755cargo,tesserae,cargo,0.1.2,Version,https://github.com/liamoc/tesserae,https://github.com/liamoc/tesserae
version736homebrew,cjson,homebrew,1.7.15,Version,https://github.com/DaveGamble/cJSON/archive/v1.7.15.tar.gz,https://github.com/DaveGamble/cJSON
version481conan,cjson,conan,1.7.15,Version,,https://github.com/DaveGamble/cJSON
version342vcpkg,cjson,vcpkg,1.7.15,Version,,https://github.com/DaveGamble/cJSON
version2561conan,plog,conan,1.1.5,Version,,https://github.com/SergiusTheBest/plog
version1349vcpkg,plog,vcpkg,1.1.5,Version,,https://github.com/SergiusTheBest/plog
version280223cargo,weechat,cargo,0.3.1,Version,https://github.com/poljar/rust-weechat/,https://github.com/poljar/rust-weechat/
version282807cargo,async-watch,cargo,0.3.0,Version,https://github.com/cynecx/async-watch,https://github.com/cynecx/async-watch
version317711cargo,work,cargo,0.4.2,Version,https://github.com/g-w1/work,https://github.com/g-w1/work
version169158cargo,pkgsrc,cargo,0.1.1,Version,https://github.com/jperkin/pkgsrc-rs,https://github.com/jperkin/pkgsrc-rs
version476996cargo,typical,cargo,0.6.0,Version,https://github.com/stepchowfun/typical,https://github.com/stepchowfun/typical
version436107cargo,asyncapi,cargo,0.1.0,Version,https://gitlab.com/Tinted/asyncapi,https://gitlab.com/Tinted/asyncapi
version105072cargo,sofa,cargo,0.6.0,Version,https://github.com/YellowInnovation/sofa,https://github.com/YellowInnovation/sofa
version1679chromebrew,netperf,chromebrew,2.7.0,Version,https://github.com/HewlettPackard/netperf/archive/netperf-2.7.0.tar.gz,https://hewlettpackard.github.io/netperf/
version3763homebrew,netperf,homebrew,2.7.0,Version,https://github.com/HewlettPackard/netperf/archive/netperf-2.7.0.tar.gz,https://hewlettpackard.github.io/netperf/
version568chromebrew,freeimage,chromebrew,3.18.0,Version,https://downloads.sourceforge.net/project/freeimage/Source%20Distribution/3.18.0/FreeImage3180.zip,http://freeimage.sourceforge.net/
version1610homebrew,freeimage,homebrew,3.18.0,Version,https://downloads.sourceforge.net/project/freeimage/Source%20Distribution/3.18.0/FreeImage3180.zip,https://sourceforge.net/projects/freeimage
version92608cargo,freeimage,cargo,0.1.0,Version,https://github.com/arturoc/freeimage-rs,https://github.com/arturoc/freeimage-rs
version118999cargo,nginx,cargo,0.1.1,Version,https://github.com/arvancloud/nginx-rs,https://github.com/arvancloud/nginx-rs
version84089cargo,wtf,cargo,0.0.0,Version,https://github.com/JMS55/whattheframe/tree/master/wtf,https://github.com/JMS55/whattheframe/tree/master/wtf
