,pkg_idx,source_idx,target_idx,source_name,target_name,source_version,target_version,kind
0,,0,,libtcod,nim,1.112.0,>= 0.18.1,BUILD
2,667.0,1,,netpbm,nim,0.1.0,>= 0.17.2,BUILD
3,,2,,xgboost,nim,0.1.3,>= 1.4.0,BUILD
4,1448.0,3,,parasound,nim,1.0.0,>= 1.2.6,BUILD
5,955.0,4,,nimassets,nim,0.2.3,>= 1.4.0,BUILD
7,421.0,5,,platformer,nim,1.1,>= 0.10.0,BUILD
11,1367.0,6,,jestercookiemsgs,nim,1.0.1,>= 1.2.0,BUILD
13,226.0,7,,wiki2text,nim,0.2.1,>= 0.11,BUILD
14,1039.0,8,,rapid,nim,2020.1,>= 0.20.0,BUILD
16,1039.0,8,,rapid,stbimage,2020.1,>= 2.5,BUILD
17,925.0,9,,timespec_get,nim,0.1.0,>= 0.18.0,BUILD
18,910.0,10,,replim,nim,0.2.3,>= 0.18.0,BUILD
19,227.0,11,,qt5_qtsql,nim,1.1.1,>= 0.10.3,BUILD
20,434.0,12,,jsonob,nim,0.1.0,>= 0.14.2,BUILD
21,1287.0,13,,norman,nim,2.1.7,>= 1.4.0,BUILD
25,1010.0,14,,science,nim,0.2.2,>= 0.18.0,BUILD
26,384.0,15,,nest,nim,0.1.0,>= 0.13.0,BUILD
27,1301.0,16,,pomTimer,nim,1.1,>= 1.0.6,BUILD
30,1357.0,17,,camelize,nim,0.2.1,>= 1.2.0,BUILD
31,1698.0,18,,gnu,nim,0.1.2,>= 1.4.8,BUILD
34,380.0,19,,sixense,nimrod,0.1,> 0.9.2,BUILD
35,1546.0,20,,vtable,nim,0.3.3,>= 1.4.2,BUILD
36,486.0,21,,faststreams,nim,0.3.0,>= 1.2.0,BUILD
41,1673.0,22,,listenbrainz,nim,0.2.1,>= 1.5.0,BUILD
44,1673.0,22,,listenbrainz,https://github.com/alaviss/union,0.2.1,>= 0.1.1,BUILD
45,1673.0,22,,listenbrainz,https://github.com/tandy-1000/uniony,0.2.1,any version,BUILD
46,1372.0,23,,mcresponse,nim,0.3.0,>= 1.6.2,BUILD
47,1430.0,24,,NimpleHTTPServer,nim,1.0.0,>= 1.0.0,BUILD
48,1196.0,25,,word2vec,nim,0.0.1,>= 1.0.0,BUILD
49,879.0,26,,bearlibterminal,nim,1.0.0,>= 0.19.0,BUILD
50,231.0,27,,syscall,nim,0.1,>= 0.10.3,BUILD
51,271.0,28,,webview,nim,0.1.0,>= 0.17.2,BUILD
52,1096.0,29,,constants,nim,0.1.0,>= 1.4.8,BUILD
53,1588.0,30,,nimib,nim,0.2.4,>= 1.4.0,BUILD
58,803.0,31,,vecio,nim,0.1.0,>= 0.18.0,BUILD
59,1782.0,32,,xlsxio,nim,0.1.1,>= 1.6.0,BUILD
60,1819.0,33,,nofi,nim,0.0.1,>= 0.18.0,BUILD
61,745.0,34,,httpbeast,nim,0.4.0,>= 0.18.0,BUILD
63,830.0,35,,xdo,nim,0.9.5,>= 1.6.0,BUILD
64,570.0,36,,gifwriter,nim,0.1.0,>= 0.16.0,BUILD
65,929.0,37,,nimgui,nim,1.6.9,>= 0.19.0,BUILD
66,1615.0,38,,ffmpeg,nim,0.5.0,>= 1.4.4,BUILD
67,1165.0,40,,fastcgi,nim,0.1.0,>= 1.0.9,BUILD
68,883.0,41,,ngxcmod,nim,0.1.2,>= 0.20.0,BUILD
69,1094.0,42,,fletcher,nim,0.4.0,>= 0.20.0,BUILD
70,981.0,43,,compactdict,nim,0.1.0,>= 0.19.2,BUILD
71,301.0,44,,perlin,nim,0.6.1,>= 1.2.0,BUILD
72,365.0,45,,reactor,nim,0.6.0,>= 0.17.0,BUILD
74,1435.0,46,,hpprint,nim,0.2.18,>= 1.4.0,BUILD
78,975.0,47,,cassette,nim,0.1.0,>= 0.19.2,BUILD
79,1065.0,48,,web3,nim,0.0.1,>= 0.18.0,BUILD
89,429.0,49,,luna,nim,0.1.0,>= 0.14.0,BUILD
90,370.0,50,,biscuits,nim,1.1,>= 0.18,BUILD
91,1122.0,51,,fwrite,nim,1.0.0,>= 0.20.2,BUILD
92,1360.0,52,,therapist,nim,0.2.0,>= 1.0.0,BUILD
93,1261.0,53,,anonimongo,nim,0.5.3,>= 1.2.0,BUILD
100,,54,,todolist,nim,0.1.0,>= 1.4.2,BUILD
104,,55,,uploadfile,nim,0.1.0,>= 1.4.2,BUILD
110,338.0,57,,playground,nim,0.1.0,>= 0.12.0,BUILD
112,394.0,58,,srt,nim,1.1.0,>= 0.18,BUILD
113,795.0,59,,polypbren,nim,0.5.0,>= 0.17.0,BUILD
114,795.0,59,,polypbren,https://github.com/yglukhov/threadpools,0.5.0,any version,BUILD
115,1501.0,61,,denim_ui,nim,0.1.0,>= 1.4.0,BUILD
119,,62,,examples,nim,0.1.0,>= 1.4.0,BUILD
122,1409.0,63,,shene,nim,0.1.0,>= 1.2.0,BUILD
123,829.0,64,,windy,nim,0.0.0,>= 1.4.8,BUILD
129,584.0,65,,nwt,nim,0.1.7,>= 0.17.0,BUILD
130,584.0,65,,nwt,https://github.com/enthus1ast/nimCommandParser,0.1.7,any version,BUILD
131,552.0,66,,gamelight,nim,0.1.0,>= 0.16.0,BUILD
