:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version13158843npm,ava,npm,0.0.3,Version,git://github.com/sindresorhus/ava,https://github.com/sindresorhus/ava
version13158851npm,ava,npm,0.5.0,Version,https://github.com/sindresorhus/ava,https://ava.li
version217352cargo,ayu,cargo,0.3.0,Version,https://github.com/weizhang9/ayu,https://github.com/weizhang9/ayu
version13222603npm,ayu,npm,0.20.0,Version,https://github.com/ayu-theme/vscode-ayu,https://github.com/ayu-theme/vscode-ayu
version113172cargo,dbr,cargo,0.1.0,Version,https://github.com/dynamsoft-dbr/rust,https://www.dynamsoft.com/Products/Dynamic-Barcode-Reader.aspx
version14821973npm,dbr,npm,6.3.2,Version,git+https://github.com/dynamsoft-dbr/nodejs.git,https://www.dynamsoft.com/Products/Dynamic-Barcode-Reader.aspx
version21homebrew,ace,homebrew,7.0.6,Version,https://github.com/DOCGroup/ACE_TAO/releases/download/ACE%2BTAO-7_0_6/ACE+TAO-7.0.6.tar.bz2,https://www.dre.vanderbilt.edu/~schmidt/ACE.html
version4vcpkg,ace,vcpkg,7.0.6,Version,,https://www.dre.vanderbilt.edu/~schmidt/ACE.html
version3739homebrew,ncurses,homebrew,6.3,Version,https://ftp.gnu.org/gnu/ncurses/ncurses-6.3.tar.gz,https://invisible-island.net/ncurses/announce.html
version1186vcpkg,ncurses,vcpkg,6.3,Version,,https://invisible-island.net/ncurses/announce.html
version115644cargo,ncurses,cargo,5.96.0,Version,https://github.com/jeaye/ncurses-rs,https://github.com/jeaye/ncurses-rs
version1694nimble,ncurses,nimble,1.0.2,Version,https://github.com/walkre-niboshi/nim-ncurses,https://github.com/walkre-niboshi/nim-ncurses
version1700chromebrew,ascii,chromebrew,3.18-1,Version,http://www.catb.org/~esr/ascii/ascii-3.18.tar.gz,http://www.catb.org/~esr/ascii/
version203homebrew,ascii,homebrew,3.18,Version,http://www.catb.org/~esr/ascii/ascii-3.18.tar.gz,http://www.catb.org/~esr/ascii/
version6626cargo,gravatar,cargo,0.1.0,Version,https://github.com/chowdhurya/rust-gravatar/,https://github.com/chowdhurya/rust-gravatar/
version1792nimble,gravatar,nimble,0.1,Version,https://github.com/achesak/nim-gravatar,https://github.com/achesak/nim-gravatar
version171452cargo,honeycomb,cargo,0.1.4,Version,https://github.com/adam-mcdaniel/honeycomb,https://github.com/adam-mcdaniel/honeycomb
version1904nimble,honeycomb,nimble,0.1.1,Version,https://github.com/KatrinaKitten/honeycomb,https://github.com/KatrinaKitten/honeycomb
version969conan,farmhash,conan,cci.20190513,Version,,https://github.com/google/farmhash
version528vcpkg,farmhash,vcpkg,1.1,Version,,https://github.com/google/farmhash
version40208cargo,prometheus,cargo,0.2.8,Version,https://github.com/tikv/rust-prometheus,https://github.com/tikv/rust-prometheus
version1681nimble,prometheus,nimble,0.1.0,Version,https://github.com/dom96/prometheus,https://github.com/dom96/prometheus
version20776028npm,prometheus,npm,0.0.1,Version,https://github.com/shubik/prometheus,https://github.com/shubik/prometheus
version154317cargo,simon,cargo,0.2.2,Version,https://github.com/stevebob/simon.git,https://github.com/stevebob/simon.git
version22519642npm,simon,npm,0.1.1,Version,https://github.com/Lipathor/simon,https://github.com/Lipathor/simon
version101395cargo,botan,cargo,0.1.2,Version,https://github.com/randombit/botan-rs,https://botan.randombit.net/
version475homebrew,botan,homebrew,2.19.1,Version,https://botan.randombit.net/releases/Botan-2.19.1.tar.xz,https://botan.randombit.net/
version465088cargo,gherkin,cargo,0.11.1,Version,https://github.com/cucumber-rs/gherkin,https://github.com/cucumber-rs/gherkin
version16627671npm,gherkin,npm,3.0.0,Version,https://github.com/cucumber/gherkin3,https://github.com/cucumber/gherkin3
version322566cargo,peril,cargo,0.4.0,Version,https://github.com/junkerjorg/peril,https://github.com/junkerjorg/peril
version20387047npm,peril,npm,0.0.2,Version,https://github.com/OhMeadhbh/peril,https://github.com/OhMeadhbh/peril
version22860034npm,ssl,npm,0.0.0,Version,https://github.com/mucus/ssl.git,https://github.com/mucus/ssl.git
version22860035npm,ssl,npm,0.0.1,Version,https://github.com/onmodulus/ssl.git,https://github.com/onmodulus/ssl.git
version23891355npm,u2f,npm,0.1.0,Version,https://github.com/ashtuchkin/node-u2f,https://github.com/ashtuchkin/node-u2f
version23891356npm,u2f,npm,0.1.1,Version,https://github.com/ashtuchkin/u2f,https://github.com/ashtuchkin/u2f
version14886584npm,deku,npm,0.0.12,Version,https://github.com/segmentio/deku,https://github.com/segmentio/deku
version14886641npm,deku,npm,0.5.0,Version,https://github.com/dekujs/deku,https://github.com/dekujs/deku
version2793conan,readline,conan,8.1.2,Version,,https://tiswww.case.edu/php/chet/readline/rltop.html
