,pkg_idx,source_idx,target_idx,source_name,target_name,source_version,target_version,kind
61,22,22,,archivers/libtar,devel/automake/1.11,,,BUILD
62,22,22,,archivers/libtar,devel/autoconf/2.69,,,BUILD
70,24,24,,archivers/luazlib,${_MODLUA_BUILD_DEPENDS},,,BUILD
71,24,24,,archivers/luazlib,lang/lua/5.1,,,BUILD
72,24,24,,archivers/luazlib,lang/lua/5.1,,,RUN
73,24,24,,archivers/luazlib,${_MODLUA_RUN_DEPS},,,RUN
89,42,42,,archivers/par2cmdline,devel/autoconf/2.69,,,BUILD
91,42,42,,archivers/par2cmdline,devel/automake/1.15,,,BUILD
93,43,43,,archivers/pecl-lzf,devel/autoconf/2.69,,,BUILD
96,43,43,,archivers/pecl-lzf,lang/php/7.4,,,BUILD
97,43,43,,archivers/pecl-lzf,devel/automake/1.9,,,BUILD
98,43,43,,archivers/pecl-lzf,lang/php/7.4,,,RUN
100,44,44,,archivers/pecl-rar,devel/autoconf/2.69,,,BUILD
103,44,44,,archivers/pecl-rar,lang/php/7.4,,,BUILD
104,44,44,,archivers/pecl-rar,devel/automake/1.9,,,BUILD
105,44,44,,archivers/pecl-rar,lang/php/7.4,,,RUN
107,46,46,,archivers/py-backports-lzma,lang/python/2.7,,,BUILD
109,46,46,,archivers/py-backports-lzma,lang/python/2.7,,,RUN
113,47,47,,archivers/py-brotli,lang/python/3.8,,,BUILD
115,47,47,,archivers/py-brotli,lang/python/3.8,,,RUN
116,48,48,,archivers/py-libarchive-c,lang/python/2.7,,,BUILD
118,48,48,,archivers/py-libarchive-c,lang/python/2.7,,,RUN
123,49,49,,archivers/py-lz4,lang/python/3.8,,,BUILD
127,49,49,,archivers/py-lz4,lang/python/3.8,,,RUN
129,50,50,,archivers/py-lzo,lang/python/2.7,,,BUILD
130,50,50,,archivers/py-lzo,lang/python/2.7,,,RUN
132,51,51,,archivers/py-rarfile,lang/python/3.8,,,BUILD
135,51,51,,archivers/py-rarfile,lang/python/3.8,,,RUN
137,52,52,,archivers/quazip,x11/qt5/qtbase,,,LIB
140,52,52,,archivers/quazip,x11/qt5/qttools,,,BUILD
141,54,54,,archivers/ruby-minitar,lang/ruby/2.7,,,BUILD
142,54,54,,archivers/ruby-minitar,lang/ruby/2.7,,,RUN
165,73,73,,astro/celestia,lang/lua/5.1,,,LIB
166,73,73,,astro/celestia,devel/autoconf/2.69,,,BUILD
