,pkgname,ecosystem,count_deps,count_total
149,grpc,"['conan', 'homebrew', 'npm', 'vcpkg']","[7, 4, 24502, 3]",24516
521,devel/ninja,"['freebsd12', 'openbsd69']","[2609, 428]",3037
62,bebop,"['cargo', 'npm']","[0, 833]",833
252,markdown-clj,"['clojars', 'npm']","[635, 0]",635
212,clj-fuzzy,"['clojars', 'npm']","[551, 38]",589
146,wasmtime,"['cargo', 'conan']","[408, 7]",415
740,print/indexinfo,"['freebsd12', 'netbsd9']","[381, 0]",381
130,ninja,"['chromebrew', 'homebrew']","[3, 193]",196
348,meshoptimizer,"['conan', 'npm', 'vcpkg']","[1, 151, 0]",152
717,lang/elixir,"['freebsd12', 'openbsd69']","[137, 1]",138
703,math/openblas,"['freebsd12', 'netbsd9']","[120, 0]",120
37,flex,"['chromebrew', 'homebrew']","[4, 111]",115
604,lang/libobjc2,"['freebsd12', 'netbsd9']","[92, 0]",92
739,print/cups,"['freebsd12', 'openbsd69']","[68, 23]",91
1,libiconv,"['conan', 'vcpkg']","[63, 24]",87
3,openssl,"['alire', 'vcpkg']","[2, 78]",80
254,parinfer,"['clojars', 'npm']","[41, 35]",76
63,fmt,"['conan', 'vcpkg']","[58, 15]",73
5,protobuf,"['conan', 'vcpkg']","[36, 29]",65
225,libvorbis,"['chromebrew', 'homebrew']","[6, 56]",62
122,exocore,"['cargo', 'npm']","[60, 0]",60
8,unmp,"['cargo', 'npm']","[57, 0]",57
657,graphics/openexr,"['freebsd12', 'openbsd69']","[41, 16]",57
783,textproc/hunspell,"['freebsd12', 'openbsd69']","[40, 15]",55
184,expat,"['conan', 'vcpkg']","[33, 21]",54
40,unzip,"['chromebrew', 'homebrew']","[12, 40]",52
180,intltool,"['chromebrew', 'homebrew']","[4, 48]",52
685,multimedia/libva,"['freebsd12', 'netbsd9']","[51, 0]",51
574,devel/rebar,"['freebsd12', 'openbsd69']","[46, 2]",48
494,databases/lmdb,"['freebsd12', 'openbsd69']","[46, 2]",48
289,aws-c-common,"['conan', 'vcpkg']","[38, 10]",48
466,archivers/snappy,"['freebsd12', 'openbsd69']","[44, 2]",46
686,multimedia/libvpx,"['freebsd12', 'openbsd69']","[38, 7]",45
133,lz4,"['conan', 'vcpkg']","[35, 10]",45
123,esbuild-config,"['cargo', 'npm']","[0, 43]",43
428,vulkan-headers,"['conan', 'vcpkg']","[41, 1]",42
199,swig,"['chromebrew', 'homebrew']","[9, 32]",41
160,brotli,"['chromebrew', 'conan', 'homebrew', 'vcpkg']","[6, 20, 10, 4]",40
106,libwebp,"['conan', 'vcpkg']","[30, 10]",40
656,graphics/opencv,"['freebsd12', 'openbsd69']","[37, 2]",39
484,devel/libepoll-shim,"['freebsd12', 'netbsd9']","[38, 0]",38
500,devel/googletest,"['freebsd12', 'netbsd9']","[28, 10]",38
626,graphics/vulkan-headers,"['freebsd12', 'openbsd69']","[30, 6]",36
524,devel/ocaml-ocamlbuild,"['freebsd12', 'openbsd69']","[26, 8]",34
502,devel/jsoncpp,"['freebsd12', 'openbsd69']","[29, 4]",33
125,nasm,"['chromebrew', 'homebrew']","[12, 21]",33
168,andare,"['clojars', 'npm']","[16, 15]",31
627,graphics/vulkan-loader,"['freebsd12', 'openbsd69']","[28, 3]",31
359,oatpp,"['conan', 'vcpkg']","[19, 12]",31
461,archivers/brotli,"['freebsd12', 'netbsd9', 'openbsd69']","[27, 0, 4]",31
228,lzo,"['chromebrew', 'homebrew']","[9, 20]",29
47,double-conversion,"['conan', 'vcpkg']","[22, 7]",29
675,security/qtkeychain,"['freebsd12', 'openbsd69']","[21, 6]",27
121,sbp,"['cargo', 'conan', 'vcpkg']","[27, 0, 0]",27
238,openjpeg,"['conan', 'vcpkg']","[20, 7]",27
294,aws-c-io,"['conan', 'vcpkg']","[21, 5]",26
131,snappy,"['conan', 'vcpkg']","[19, 7]",26
497,devel/gflags,"['freebsd12', 'netbsd9', 'openbsd69']","[25, 0, 1]",26
565,devel/yaml-cpp,"['freebsd12', 'openbsd69']","[21, 5]",26
17,abseil,"['conan', 'vcpkg']","[22, 4]",26
177,xmlto,"['chromebrew', 'homebrew']","[10, 15]",25
688,multimedia/mpv,"['freebsd12', 'openbsd69']","[20, 5]",25
195,libcap,"['chromebrew', 'conan']","[14, 10]",24
594,editors/vim,"['freebsd12', 'openbsd69']","[19, 5]",24
499,devel/glog,"['freebsd12', 'openbsd69']","[23, 0]",23
114,ffmpeg,"['conan', 'vcpkg']","[17, 6]",23
419,tinyxml2,"['conan', 'vcpkg']","[12, 11]",23
12,spdlog,"['conan', 'vcpkg']","[19, 4]",23
578,devel/py-mock,"['freebsd12', 'netbsd9']","[20, 1]",21
144,zip,"['chromebrew', 'homebrew']","[1, 19]",20
109,libevent,"['conan', 'vcpkg']","[10, 10]",20
293,aws-c-http,"['conan', 'vcpkg']","[16, 4]",20
2,libusb,"['conan', 'vcpkg']","[10, 10]",20
11,gmp,"['conan', 'vcpkg']","[12, 8]",20
601,devel/re2,"['freebsd12', 'netbsd9']","[20, 0]",20
555,devel/p8-platform,"['freebsd12', 'netbsd9']","[18, 1]",19
559,devel/spdlog,"['freebsd12', 'netbsd9']","[19, 0]",19
767,shells/bash-completion,"['freebsd12', 'netbsd9', 'openbsd69']","[13, 0, 5]",18
670,devel/protobuf-c,"['freebsd12', 'netbsd9']","[18, 0]",18
288,aws-c-cal,"['conan', 'vcpkg']","[13, 5]",18
