names,url,pkgmans
"[scte35dump,multimedia/scte35dump]",https://github.com/m2amedia/scte35dump,"[cargo,freebsd12]"
"[sn0int,sn0int-registry,sn0int-std,sn0int-common,security/sn0int]",https://github.com/kpcyrd/sn0int,"[cargo,openbsd69]"
"[slint-lsp,sixtyfps-interpreter,slint-viewer,i-slint-compiler,slint-interpreter,vtable-macro,i-slint-core,sixtyfps-build,sixtyfps,i-slint-backend-selector,i-slint-backend-gl,vtable,i-slint-common,slint-macros,slint,i-slint-core-macros,slint-build,i-slint-backend-qt,slint-ui]",https://github.com/slint-ui/slint,"[cargo,npm]"
"[sixtyfps-viewer,sixtyfps-rendering-backend-gl,sixtyfps-lsp,const-field-offset,const-field-offset-macro,sixtyfps-corelib,sixtyfps-rendering-backend-default,sixtyfps-compilerlib,sixtyfps-rendering-backend-qt,sixtyfps-macros,sixtyfps-corelib-macros,sixtyfps-common,sixtyfps]",https://github.com/sixtyfpsui/sixtyfps,"[cargo,npm]"
"[solana-archiver-lib,solana,solana-drone,solana-ledger-tool,safecoin-streamer,solana-zk-token-proof-program,solana-fixed-buf,solana-config-api,solana-budget-api,solana-bpfloader,solana-chacha-cuda,solana-bpf-loader-api,solana-accountsdb-plugin-postgres,solana-sdk-bpf-test,solana-cargo-test-bpf,solana-cargo-build-bpf,solana-client-test,solana-netutil,solana-move-loader-program,solana-librapay-api,solana-version,safecoin-budget-program,solana-token-program,solana-bpf-helloworld,solana-native-loader,solana-system-program,solana-rewards-program,solana-noop,solana-vest-api,safecoin-exchange-program,safecoin-ownable,safecoin-notifier,safecoin-ledger,solana-bitcoin-spv-program,safecoin-sys-tuner,safecoin-vest-program,btc_spv_bin,solana-config-tests,solana-fullnode,solana-fullnode-config,solana-upload-perf,solana-btc-spv-api,solana-rpc-test,solana-vote-api,solana-exchange-api,solana-geyser-plugin-postgres,solana-stake-tests,safecoin-noop-program,safecoin-merkle-tree,solana-btc-spv-program,solana-rewards-api,solana-ed25519-program,solana-chacha,solana-noop-program,solana-budget-program,solana-chacha-sys,solana-accountsdb-plugin-manager,solana-archiver-utils,solana-replica-node,solana-token-api,solana-storage-api,solana-storage-program,solana-download-utils,solana-rpc,solana-entry,solana-move-loader-api,solana-geyser-plugin-manager,solana-poh,solana-gossip,solana-vote-signer,solana-tokens,solana-stake-accounts,solana-cli,solana-stake-monitor,solana-local-cluster,solana-validator,solana-ownable,solana-exchange-program,solana-keygen,solana-install,solana-lualoader,solana-failure-program,solana-genesis-programs,solana-vest-program,solana-genesis,solana-kvstore,solana-sys-tuner,solana-cli-output,solana-replica-lib,solana-core,solana-send-transaction-service,solana-merkle-tree,solana-streamer,solana-geyser-plugin-interface,solana-metrics,solana-watchtower,solana-rayon-threadlimit,solana-storage-proto,solana-client,solana-faucet,solana-genesis-utils,solana-test-validator,solana-perf,solana-crate-features,solana-account-decoder,solana-remote-wallet,solana-banks-interface,solana-net-utils,solana-cli-config,solana-banks-server,solana-config-program,solana-storage-bigtable,solana-bpf-loader-program,solana-sdk,solana-accountsdb-plugin-interface,solana-address-lookup-table-program,solana-stake-program,solana-program-test,solana-vote-program,solana-banks-client,solana-frozen-abi-macro,solana-sdk-macro,solana-logger,solana-runtime,solana-bloom,solana-program-runtime,solana-measure,solana-transaction-status,solana-program,solana-frozen-abi,solana-zk-token-sdk,solana-ledger,solana-clap-utils,solana-notifier,solana-bucket-map,solana-compute-budget-program,solana-secp256k1-program,solana-wallet,solana-validator-info,solana-stake-api,solana-sdk-macro-frozen-abi,security/solana]",https://github.com/solana-labs/solana,"[cargo,freebsd12]"
"[sniffglue,security/sniffglue]",https://github.com/kpcyrd/sniffglue,"[cargo,freebsd12]"
"[tws,@bitcoin-api.io/backend-common-utilities,@bitcoin-api/full-stack-backend,@phoenix-plugin-registry/kakumei.codecademy,clgt,codex100,customcal,duoniya,eslint-config-akshay-node,eslint-config-cmp-node,ionic-mitdemo-package,meu-primeiro-npx,star4,testing-reals,weather-cli.demo_01,abdi_view_tool,darkdark,docker-gem-store,gbrowse,hola_kamal028,metabase_cli,my_app,outsmart,parking,prefire-jekyll-theme,reversifier,rockpepescissors,start-x,starters,tagir_view_tool,voteable_kenn,vizsla]",https://google.com,"[cargo,npm,rubygems]"
[openssl],https://www.openssl.org,"[alire,vcpkg]"
"[unixodbc,odbc]",http://www.unixodbc.org,"[alire,conan]"
"[libwayland,wayland]",https://wayland.freedesktop.org,"[alire,conan]"
