names,url,pkgmans,total_pkgs
"[{""name"":solana-archiver-lib,""pkgman"":cargo},{""name"":solana-zk-token-proof-program,""pkgman"":cargo},{""name"":solana-ledger-tool,""pkgman"":cargo},{""name"":solana-fixed-buf,""pkgman"":cargo},{""name"":solana-config-api,""pkgman"":cargo},{""name"":solana-budget-api,""pkgman"":cargo},{""name"":solana-bpfloader,""pkgman"":cargo},{""name"":solana-chacha-cuda,""pkgman"":cargo},{""name"":solana-bpf-loader-api,""pkgman"":cargo},{""name"":solana-accountsdb-plugin-postgres,""pkgman"":cargo},{""name"":solana,""pkgman"":cargo},{""name"":safecoin-streamer,""pkgman"":cargo},{""name"":solana-sdk-bpf-test,""pkgman"":cargo},{""name"":solana-drone,""pkgman"":cargo},{""name"":solana-version,""pkgman"":cargo},{""name"":solana-cargo-test-bpf,""pkgman"":cargo},{""name"":solana-cargo-build-bpf,""pkgman"":cargo},{""name"":solana-client-test,""pkgman"":cargo},{""name"":solana-netutil,""pkgman"":cargo},{""name"":solana-move-loader-program,""pkgman"":cargo},{""name"":solana-librapay-api,""pkgman"":cargo},{""name"":safecoin-budget-program,""pkgman"":cargo},{""name"":solana-token-program,""pkgman"":cargo},{""name"":solana-bpf-helloworld,""pkgman"":cargo},{""name"":solana-native-loader,""pkgman"":cargo},{""name"":solana-rewards-program,""pkgman"":cargo},{""name"":solana-noop,""pkgman"":cargo},{""name"":solana-vest-api,""pkgman"":cargo},{""name"":solana-system-program,""pkgman"":cargo},{""name"":safecoin-notifier,""pkgman"":cargo},{""name"":safecoin-ownable,""pkgman"":cargo},{""name"":safecoin-exchange-program,""pkgman"":cargo},{""name"":safecoin-ledger,""pkgman"":cargo},{""name"":safecoin-sys-tuner,""pkgman"":cargo},{""name"":solana-bitcoin-spv-program,""pkgman"":cargo},{""name"":safecoin-vest-program,""pkgman"":cargo},{""name"":btc_spv_bin,""pkgman"":cargo},{""name"":solana-exchange-api,""pkgman"":cargo},{""name"":solana-btc-spv-api,""pkgman"":cargo},{""name"":solana-config-tests,""pkgman"":cargo},{""name"":solana-fullnode,""pkgman"":cargo},{""name"":solana-fullnode-config,""pkgman"":cargo},{""name"":solana-upload-perf,""pkgman"":cargo},{""name"":solana-stake-tests,""pkgman"":cargo},{""name"":solana-rpc-test,""pkgman"":cargo},{""name"":solana-vote-api,""pkgman"":cargo},{""name"":solana-geyser-plugin-postgres,""pkgman"":cargo},{""name"":safecoin-noop-program,""pkgman"":cargo},{""name"":safecoin-merkle-tree,""pkgman"":cargo},{""name"":solana-rewards-api,""pkgman"":cargo},{""name"":solana-btc-spv-program,""pkgman"":cargo},{""name"":solana-ed25519-program,""pkgman"":cargo},{""name"":solana-replica-node,""pkgman"":cargo},{""name"":solana-token-api,""pkgman"":cargo},{""name"":solana-noop-program,""pkgman"":cargo},{""name"":solana-budget-program,""pkgman"":cargo},{""name"":solana-storage-program,""pkgman"":cargo},{""name"":solana-storage-api,""pkgman"":cargo},{""name"":solana-chacha,""pkgman"":cargo},{""name"":solana-chacha-sys,""pkgman"":cargo},{""name"":solana-accountsdb-plugin-manager,""pkgman"":cargo},{""name"":solana-archiver-utils,""pkgman"":cargo},{""name"":solana-download-utils,""pkgman"":cargo},{""name"":solana-rpc,""pkgman"":cargo},{""name"":solana-entry,""pkgman"":cargo},{""name"":solana-move-loader-api,""pkgman"":cargo},{""name"":solana-geyser-plugin-manager,""pkgman"":cargo},{""name"":solana-poh,""pkgman"":cargo},{""name"":solana-gossip,""pkgman"":cargo},{""name"":solana-stake-accounts,""pkgman"":cargo},{""name"":solana-stake-monitor,""pkgman"":cargo},{""name"":solana-vote-signer,""pkgman"":cargo},{""name"":solana-tokens,""pkgman"":cargo},{""name"":solana-local-cluster,""pkgman"":cargo},{""name"":solana-cli,""pkgman"":cargo},{""name"":solana-exchange-program,""pkgman"":cargo},{""name"":solana-keygen,""pkgman"":cargo},{""name"":solana-validator,""pkgman"":cargo},{""name"":solana-ownable,""pkgman"":cargo},{""name"":solana-lualoader,""pkgman"":cargo},{""name"":solana-failure-program,""pkgman"":cargo},{""name"":solana-genesis-programs,""pkgman"":cargo},{""name"":solana-vest-program,""pkgman"":cargo},{""name"":solana-install,""pkgman"":cargo},{""name"":solana-genesis,""pkgman"":cargo},{""name"":solana-kvstore,""pkgman"":cargo},{""name"":solana-sys-tuner,""pkgman"":cargo},{""name"":solana-cli-output,""pkgman"":cargo},{""name"":solana-replica-lib,""pkgman"":cargo},{""name"":solana-rayon-threadlimit,""pkgman"":cargo},{""name"":solana-core,""pkgman"":cargo},{""name"":solana-metrics,""pkgman"":cargo},{""name"":solana-send-transaction-service,""pkgman"":cargo},{""name"":solana-account-decoder,""pkgman"":cargo},{""name"":solana-banks-server,""pkgman"":cargo},{""name"":solana-merkle-tree,""pkgman"":cargo},{""name"":solana-cli-config,""pkgman"":cargo},{""name"":solana-streamer,""pkgman"":cargo},{""name"":solana-bpf-loader-program,""pkgman"":cargo},{""name"":solana-net-utils,""pkgman"":cargo},{""name"":solana-geyser-plugin-interface,""pkgman"":cargo},{""name"":solana-storage-proto,""pkgman"":cargo},{""name"":solana-watchtower,""pkgman"":cargo},{""name"":solana-genesis-utils,""pkgman"":cargo},{""name"":solana-banks-interface,""pkgman"":cargo},{""name"":solana-storage-bigtable,""pkgman"":cargo},{""name"":solana-crate-features,""pkgman"":cargo},{""name"":solana-sdk,""pkgman"":cargo},{""name"":solana-config-program,""pkgman"":cargo},{""name"":solana-remote-wallet,""pkgman"":cargo},{""name"":solana-accountsdb-plugin-interface,""pkgman"":cargo},{""name"":solana-test-validator,""pkgman"":cargo},{""name"":solana-perf,""pkgman"":cargo},{""name"":solana-banks-client,""pkgman"":cargo},{""name"":solana-program-test,""pkgman"":cargo},{""name"":solana-vote-program,""pkgman"":cargo},{""name"":solana-address-lookup-table-program,""pkgman"":cargo},{""name"":solana-client,""pkgman"":cargo},{""name"":solana-faucet,""pkgman"":cargo},{""name"":solana-frozen-abi-macro,""pkgman"":cargo},{""name"":solana-logger,""pkgman"":cargo},{""name"":solana-sdk-macro,""pkgman"":cargo},{""name"":solana-runtime,""pkgman"":cargo},{""name"":solana-program-runtime,""pkgman"":cargo},{""name"":solana-measure,""pkgman"":cargo},{""name"":solana-bloom,""pkgman"":cargo},{""name"":solana-stake-program,""pkgman"":cargo},{""name"":solana-frozen-abi,""pkgman"":cargo},{""name"":solana-transaction-status,""pkgman"":cargo},{""name"":solana-program,""pkgman"":cargo},{""name"":solana-zk-token-sdk,""pkgman"":cargo},{""name"":solana-clap-utils,""pkgman"":cargo},{""name"":solana-ledger,""pkgman"":cargo},{""name"":solana-notifier,""pkgman"":cargo},{""name"":solana-bucket-map,""pkgman"":cargo},{""name"":solana-secp256k1-program,""pkgman"":cargo},{""name"":solana-compute-budget-program,""pkgman"":cargo},{""name"":solana-wallet,""pkgman"":cargo},{""name"":solana-validator-info,""pkgman"":cargo},{""name"":solana-stake-api,""pkgman"":cargo},{""name"":solana-sdk-macro-frozen-abi,""pkgman"":cargo},{""name"":security/solana,""pkgman"":freebsd12}]",https://github.com/solana-labs/solana,"[cargo,freebsd12]",142
"[{""name"":openssl,""pkgman"":alire},{""name"":openssl,""pkgman"":vcpkg}]",https://www.openssl.org,"[alire,vcpkg]",2
"[{""name"":tws,""pkgman"":cargo},{""name"":@bitcoin-api.io/backend-common-utilities,""pkgman"":npm},{""name"":@bitcoin-api/full-stack-backend,""pkgman"":npm},{""name"":@phoenix-plugin-registry/kakumei.codecademy,""pkgman"":npm},{""name"":clgt,""pkgman"":npm},{""name"":codex100,""pkgman"":npm},{""name"":customcal,""pkgman"":npm},{""name"":duoniya,""pkgman"":npm},{""name"":eslint-config-akshay-node,""pkgman"":npm},{""name"":eslint-config-cmp-node,""pkgman"":npm},{""name"":ionic-mitdemo-package,""pkgman"":npm},{""name"":meu-primeiro-npx,""pkgman"":npm},{""name"":star4,""pkgman"":npm},{""name"":testing-reals,""pkgman"":npm},{""name"":weather-cli.demo_01,""pkgman"":npm},{""name"":abdi_view_tool,""pkgman"":rubygems},{""name"":darkdark,""pkgman"":rubygems},{""name"":docker-gem-store,""pkgman"":rubygems},{""name"":gbrowse,""pkgman"":rubygems},{""name"":hola_kamal028,""pkgman"":rubygems},{""name"":metabase_cli,""pkgman"":rubygems},{""name"":my_app,""pkgman"":rubygems},{""name"":outsmart,""pkgman"":rubygems},{""name"":parking,""pkgman"":rubygems},{""name"":prefire-jekyll-theme,""pkgman"":rubygems},{""name"":reversifier,""pkgman"":rubygems},{""name"":rockpepescissors,""pkgman"":rubygems},{""name"":starters,""pkgman"":rubygems},{""name"":start-x,""pkgman"":rubygems},{""name"":tagir_view_tool,""pkgman"":rubygems},{""name"":vizsla,""pkgman"":rubygems},{""name"":voteable_kenn,""pkgman"":rubygems}]",https://google.com,"[cargo,npm,rubygems]",32
"[{""name"":sn0int,""pkgman"":cargo},{""name"":sn0int-registry,""pkgman"":cargo},{""name"":sn0int-std,""pkgman"":cargo},{""name"":sn0int-common,""pkgman"":cargo},{""name"":security/sn0int,""pkgman"":openbsd69}]",https://github.com/kpcyrd/sn0int,"[cargo,openbsd69]",5
"[{""name"":slint-lsp,""pkgman"":cargo},{""name"":slint-viewer,""pkgman"":cargo},{""name"":sixtyfps-interpreter,""pkgman"":cargo},{""name"":i-slint-compiler,""pkgman"":cargo},{""name"":slint-interpreter,""pkgman"":cargo},{""name"":vtable-macro,""pkgman"":cargo},{""name"":i-slint-core,""pkgman"":cargo},{""name"":sixtyfps-build,""pkgman"":cargo},{""name"":sixtyfps,""pkgman"":cargo},{""name"":i-slint-backend-selector,""pkgman"":cargo},{""name"":i-slint-backend-gl,""pkgman"":cargo},{""name"":vtable,""pkgman"":cargo},{""name"":i-slint-common,""pkgman"":cargo},{""name"":slint-macros,""pkgman"":cargo},{""name"":slint,""pkgman"":cargo},{""name"":i-slint-core-macros,""pkgman"":cargo},{""name"":slint-build,""pkgman"":cargo},{""name"":i-slint-backend-qt,""pkgman"":cargo},{""name"":slint-ui,""pkgman"":npm}]",https://github.com/slint-ui/slint,"[cargo,npm]",19
"[{""name"":sixtyfps-viewer,""pkgman"":cargo},{""name"":sixtyfps-rendering-backend-gl,""pkgman"":cargo},{""name"":sixtyfps-lsp,""pkgman"":cargo},{""name"":const-field-offset,""pkgman"":cargo},{""name"":const-field-offset-macro,""pkgman"":cargo},{""name"":sixtyfps-corelib,""pkgman"":cargo},{""name"":sixtyfps-rendering-backend-default,""pkgman"":cargo},{""name"":sixtyfps-compilerlib,""pkgman"":cargo},{""name"":sixtyfps-rendering-backend-qt,""pkgman"":cargo},{""name"":sixtyfps-macros,""pkgman"":cargo},{""name"":sixtyfps-corelib-macros,""pkgman"":cargo},{""name"":sixtyfps-common,""pkgman"":cargo},{""name"":sixtyfps,""pkgman"":npm}]",https://github.com/sixtyfpsui/sixtyfps,"[cargo,npm]",13
"[{""name"":unixodbc,""pkgman"":alire},{""name"":odbc,""pkgman"":conan}]",http://www.unixodbc.org,"[alire,conan]",2
"[{""name"":libwayland,""pkgman"":alire},{""name"":wayland,""pkgman"":conan}]",https://wayland.freedesktop.org,"[alire,conan]",2
"[{""name"":unmp-link-redis,""pkgman"":cargo},{""name"":unmp-link-udp,""pkgman"":cargo},{""name"":unmp-protocol-raw,""pkgman"":cargo},{""name"":unmp-protocol,""pkgman"":cargo},{""name"":unmp-cloud,""pkgman"":cargo},{""name"":unmp-link-websocket,""pkgman"":cargo},{""name"":unmp-net,""pkgman"":cargo},{""name"":unmp-link-serial,""pkgman"":cargo},{""name"":unmp-id,""pkgman"":cargo},{""name"":unmp-center,""pkgman"":cargo},{""name"":unmp-protocol-etp,""pkgman"":cargo},{""name"":unmp-id,""pkgman"":npm}]",https://gitee.com/unmp/unmp.example.rust.git,"[cargo,npm]",12
"[{""name"":unigraph,""pkgman"":cargo},{""name"":gempractice11,""pkgman"":rubygems}]",http://facebook.com,"[cargo,rubygems]",2
