id,url,count_deps,count_total
56,https://github.com/lodash/lodash,"{'clojars': 5, 'npm': 214331}",214336
225,https://github.com/facebook/react,"{'npm': 191128, 'rubygems': 6}",191134
53,https://github.com/facebook/immutable-js,"{'clojars': 6, 'npm': 8429}",8435
223,https://github.com/electron/electron,"{'npm': 4349, 'freebsd12': 1}",4350
169,https://github.com/ninja-build/ninja,"{'conan': 1, 'freebsd12': 2608, 'openbsd69': 428}",3037
50,https://github.com/yeikos/js.merge,"{'clojars': 1, 'npm': 2424}",2425
46,https://github.com/zenorocha/clipboard.js,"{'clojars': 1, 'npm': 2418}",2419
52,https://github.com/getsentry/raven-js,"{'clojars': 1, 'npm': 1904}",1905
209,https://github.com/grpc/grpc.git,"{'homebrew': 4, 'npm': 1325, 'conan': 2, 'vcpkg': 3, 'freebsd12': 10}",1344
47,https://github.com/ftlabs/fastclick,"{'clojars': 1, 'npm': 1004}",1005
58,https://github.com/mrdoob/three.js,"{'clojars': 4, 'npm': 910, 'freebsd12': 1}",915
51,https://github.com/bestiejs/platform.js,"{'clojars': 1, 'npm': 592}",593
5,https://github.com/bytecodealliance/wasmtime,"{'cargo': 464, 'conan': 1}",465
54,https://github.com/Stuk/jszip,"{'clojars': 2, 'npm': 381}",383
224,https://github.com/facebook/watchman,"{'npm': 354, 'freebsd12': 1}",355
1,https://github.com/solana-labs/solana-program-library,"{'cargo': 253, 'npm': 7}",260
35,https://github.com/ninja-build/ninja/archive/v1.10.2.tar.gz,"{'chromebrew': 3, 'homebrew': 193}",196
41,https://github.com/reactstrap/reactstrap,"{'clojars': 4, 'npm': 175}",179
226,https://github.com/cucumber/gherkin3,"{'npm': 156, 'rubygems': 3}",159
73,https://github.com/lz4/lz4,"{'conan': 12, 'freebsd12': 91, 'vcpkg': 10, 'openbsd69': 17}",130
77,https://github.com/mesonbuild/meson,"{'conan': 0, 'vcpkg': 32, 'openbsd69': 96}",128
259,https://github.com/xianyi/OpenBLAS,"{'vcpkg': 3, 'freebsd12': 118, 'netbsd9': 0}",121
33,https://github.com/westes/flex/releases/download/v2.6.4/flex-2.6.4.tar.gz,"{'chromebrew': 4, 'homebrew': 110}",114
11,https://github.com/tree-sitter/tree-sitter,"{'cargo': 108, 'freebsd12': 1}",109
227,https://github.com/rmosolgo/graphql-ruby,"{'npm': 4, 'rubygems': 97}",101
151,https://github.com/alsa-project/alsa-lib,"{'conan': 5, 'freebsd12': 93}",98
333,https://github.com/OpenPrinting/cups,"{'freebsd12': 67, 'openbsd69': 21}",88
62,https://github.com/cgrand/macrovich,"{'clojars': 86, 'npm': 2}",88
18,https://github.com/rust-lang/mdBook,"{'cargo': 84, 'freebsd12': 1, 'openbsd69': 0}",85
327,https://github.com/elixir-lang/elixir,"{'freebsd12': 69, 'openbsd69': 1}",70
281,https://github.com/haskell/cabal,"{'freebsd12': 57, 'openbsd69': 11}",68
306,https://github.com/wxWidgets/wxWidgets,"{'vcpkg': 2, 'freebsd12': 65}",67
175,https://github.com/uclouvain/openjpeg,"{'conan': 9, 'vcpkg': 7, 'freebsd12': 39, 'openbsd69': 10}",65
174,https://github.com/AcademySoftwareFoundation/openexr,"{'conan': 8, 'freebsd12': 41, 'openbsd69': 16}",65
146,https://github.com/nlohmann/json,"{'conan': 22, 'vcpkg': 15, 'freebsd12': 24}",61
181,https://github.com/google/snappy,"{'conan': 5, 'freebsd12': 44, 'vcpkg': 7, 'openbsd69': 2}",58
269,https://github.com/hunspell/hunspell,"{'vcpkg': 0, 'freebsd12': 38, 'openbsd69': 15}",53
94,https://github.com/google/googletest,"{'conan': 0, 'vcpkg': 7, 'freebsd12': 27, 'netbsd9': 9, 'openbsd69': 10}",53
14,https://github.com/oneapi-src/oneTBB,"{'cargo': 2, 'conan': 8, 'freebsd12': 38, 'openbsd69': 4}",52
25,https://github.com/google/flatbuffers,"{'cargo': 43, 'freebsd12': 6, 'openbsd69': 0}",49
309,https://github.com/rebar/rebar,"{'freebsd12': 45, 'openbsd69': 2}",47
142,https://github.com/AcademySoftwareFoundation/Imath,"{'conan': 1, 'vcpkg': 2, 'freebsd12': 42}",45
251,https://github.com/webmproject/libvpx,"{'vcpkg': 1, 'freebsd12': 35, 'openbsd69': 7}",43
201,https://github.com/pybind/pybind11,"{'conan': 1, 'vcpkg': 2, 'freebsd12': 18, 'netbsd9': 21}",42
252,https://github.com/LMDB/lmdb,"{'vcpkg': 1, 'freebsd12': 39, 'openbsd69': 2}",42
91,https://github.com/g-truc/glm,"{'conan': 1, 'freebsd12': 33, 'openbsd69': 7}",41
69,https://github.com/webmproject/libwebp,"{'conan': 11, 'vcpkg': 10, 'openbsd69': 20}",41
145,https://github.com/open-source-parsers/jsoncpp,"{'conan': 1, 'vcpkg': 7, 'freebsd12': 29, 'netbsd9': 0, 'openbsd69': 4}",41
210,https://github.com/KhronosGroup/Vulkan-Headers,"{'conan': 7, 'freebsd12': 27, 'vcpkg': 1, 'openbsd69': 5}",40
13,https://github.com/iotaledger/iota.rs,"{'cargo': 38, 'npm': 2}",40
180,https://github.com/protocolbuffers/protobuf,"{'conan': 9, 'vcpkg': 27, 'netbsd9': 4}",40
235,https://github.com/jiixyj/epoll-shim,"{'freebsd12': 38, 'netbsd9': 0, 'openbsd69': 1}",39
3,https://github.com/matrix-org/matrix-rust-sdk,"{'cargo': 38, 'npm': 1}",39
79,https://github.com/libexpat/libexpat,"{'conan': 18, 'vcpkg': 21}",39
89,https://github.com/gflags/gflags,"{'conan': 2, 'vcpkg': 10, 'freebsd12': 25, 'netbsd9': 0, 'openbsd69': 1}",38
267,https://github.com/google/glog,"{'vcpkg': 13, 'freebsd12': 22, 'openbsd69': 0}",35
106,https://github.com/awslabs/aws-c-common,"{'conan': 12, 'freebsd12': 13, 'vcpkg': 10}",35
173,https://github.com/KhronosGroup/OpenCL-Headers,"{'conan': 2, 'vcpkg': 5, 'freebsd12': 26, 'netbsd9': 2}",35
4,https://github.com/hotg-ai/rune,"{'cargo': 28, 'npm': 7}",35
260,https://github.com/opencv/opencv,"{'vcpkg': 6, 'freebsd12': 27, 'openbsd69': 2}",35
216,https://github.com/jbeder/yaml-cpp,"{'conan': 4, 'freebsd12': 23, 'vcpkg': 2, 'netbsd9': 0, 'openbsd69': 5}",34
118,https://github.com/google/brotli,"{'conan': 3, 'vcpkg': 4, 'freebsd12': 23, 'netbsd9': 0, 'openbsd69': 4}",34
140,https://github.com/google/double-conversion,"{'conan': 3, 'vcpkg': 7, 'freebsd12': 20, 'openbsd69': 4}",34
