name,nodelist,count,notes
yarn,"[{""name"":yarn,""pkgman"":Cargo},{""name"":yarn,""pkgman"":Chromebrew},{""name"":yarn,""pkgman"":Homebrew}]",3,Cargo says reserved for future use - Chromebrew and Homebrew refer to same
pnpm,"[{""name"":pnpm,""pkgman"":Cargo},{""name"":pnpm,""pkgman"":Homebrew}]",2,Cargo says reserved for future use
unixodbc,"[{""name"":unixodbc,""pkgman"":Cargo},{""name"":unixodbc,""pkgman"":VCPKG},{""name"":unixodbc,""pkgman"":Alire},{""name"":unixodbc,""pkgman"":Chromebrew},{""name"":unixodbc,""pkgman"":Homebrew}]",5,Same
subnet,"[{""name"":subnet,""pkgman"":Cargo},{""name"":subnet,""pkgman"":Nimble}]",2, Cargo says reserved for future use
tempdir,"[{""name"":tempdir,""pkgman"":Cargo},{""name"":tempdir,""pkgman"":Nimble}]",2,Same overall goal but different implementations
macchina,"[{""name"":macchina,""pkgman"":Cargo},{""name"":macchina,""pkgman"":Homebrew}]",2,Same
silicon,"[{""name"":silicon,""pkgman"":Cargo},{""name"":silicon,""pkgman"":Homebrew}]",2,Same
ptex,"[{""name"":ptex,""pkgman"":Cargo},{""name"":ptex,""pkgman"":VCPKG},{""name"":ptex,""pkgman"":Conan},{""name"":ptex,""pkgman"":Homebrew}]",4,Same (texture mapping)
rethinkdb,"[{""name"":rethinkdb,""pkgman"":Cargo},{""name"":rethinkdb,""pkgman"":Homebrew},{""name"":rethinkdb,""pkgman"":Nimble}]",3,Not same code but different implementations
solidity,"[{""name"":solidity,""pkgman"":Cargo},{""name"":solidity,""pkgman"":Homebrew}]",2,Cargo says reserved for future use - Homebrew exists - Programming language for smart contracts for Ethereum
bupstash,"[{""name"":bupstash,""pkgman"":Cargo},{""name"":bupstash,""pkgman"":Homebrew}]",2,Same
butane,"[{""name"":butane,""pkgman"":Cargo},{""name"":butane,""pkgman"":Homebrew}]",2, NOT SAME - Cargo is ORM and Homebrew is some config file translation for OS's
opensearch,"[{""name"":opensearch,""pkgman"":Cargo},{""name"":opensearch,""pkgman"":Homebrew}]",2,NOT SAME - different implementations
optional,"[{""name"":optional,""pkgman"":Cargo},{""name"":optional,""pkgman"":Alire}]",2,NOT SAME - different implementations of Optional
marble,"[{""name"":marble,""pkgman"":Cargo},{""name"":marble,""pkgman"":VCPKG}]",2,NOT SAME
soundex,"[{""name"":soundex,""pkgman"":Cargo},{""name"":soundex,""pkgman"":Nimble}]",2,NOT SAME - different implementations
presto,"[{""name"":presto,""pkgman"":Cargo},{""name"":presto,""pkgman"":Nimble}]",2,NOT SAME - different implementations
openslide,"[{""name"":openslide,""pkgman"":Cargo},{""name"":openslide,""pkgman"":Homebrew}]",2,NOT SAME - different implementations
bullet,"[{""name"":bullet,""pkgman"":Cargo},{""name"":bullet,""pkgman"":Chromebrew},{""name"":bullet,""pkgman"":Homebrew}]",3,Cargo not same - Homebrew and Chromebrew refers to same
ms,"[{""name"":ms,""pkgman"":Cargo},{""name"":ms,""pkgman"":Nimble}]",2,
openimageio,"[{""name"":openimageio,""pkgman"":Cargo},{""name"":openimageio,""pkgman"":VCPKG},{""name"":openimageio,""pkgman"":Conan},{""name"":openimageio,""pkgman"":Homebrew}]",4,
bash,"[{""name"":bash,""pkgman"":Cargo},{""name"":bash,""pkgman"":Chromebrew},{""name"":bash,""pkgman"":Homebrew}]",3,
d3,"[{""name"":d3,""pkgman"":Cargo},{""name"":d3,""pkgman"":Nimble}]",2,
libcbor,"[{""name"":libcbor,""pkgman"":VCPKG},{""name"":libcbor,""pkgman"":Conan},{""name"":libcbor,""pkgman"":Homebrew}]",3,
libcds,"[{""name"":libcds,""pkgman"":VCPKG},{""name"":libcds,""pkgman"":Conan},{""name"":libcds,""pkgman"":Homebrew}]",3,
libcerf,"[{""name"":libcerf,""pkgman"":VCPKG},{""name"":libcerf,""pkgman"":Chromebrew},{""name"":libcerf,""pkgman"":Homebrew}]",3,
libconfig,"[{""name"":libconfig,""pkgman"":VCPKG},{""name"":libconfig,""pkgman"":Cargo},{""name"":libconfig,""pkgman"":Chromebrew},{""name"":libconfig,""pkgman"":Conan},{""name"":libconfig,""pkgman"":Homebrew}]",5,
libconfuse,"[{""name"":libconfuse,""pkgman"":VCPKG},{""name"":libconfuse,""pkgman"":Chromebrew},{""name"":libconfuse,""pkgman"":Conan}]",3,
libcroco,"[{""name"":libcroco,""pkgman"":VCPKG},{""name"":libcroco,""pkgman"":Chromebrew},{""name"":libcroco,""pkgman"":Homebrew}]",3,
libde265,"[{""name"":libde265,""pkgman"":VCPKG},{""name"":libde265,""pkgman"":Chromebrew},{""name"":libde265,""pkgman"":Conan},{""name"":libde265,""pkgman"":Homebrew}]",4,
libdisasm,"[{""name"":libdisasm,""pkgman"":VCPKG},{""name"":libdisasm,""pkgman"":Conan}]",2,
libdivide,"[{""name"":libdivide,""pkgman"":VCPKG},{""name"":libdivide,""pkgman"":Cargo},{""name"":libdivide,""pkgman"":Conan}]",3,
libebur128,"[{""name"":libebur128,""pkgman"":VCPKG},{""name"":libebur128,""pkgman"":Homebrew}]",2,
libepoxy,"[{""name"":libepoxy,""pkgman"":VCPKG},{""name"":libepoxy,""pkgman"":Chromebrew},{""name"":libepoxy,""pkgman"":Conan},{""name"":libepoxy,""pkgman"":Homebrew}]",4,
libevent,"[{""name"":libevent,""pkgman"":VCPKG},{""name"":libevent,""pkgman"":Cargo},{""name"":libevent,""pkgman"":Chromebrew},{""name"":libevent,""pkgman"":Conan},{""name"":libevent,""pkgman"":Homebrew}]",5,
libevhtp,"[{""name"":libevhtp,""pkgman"":VCPKG},{""name"":libevhtp,""pkgman"":Homebrew}]",2,
libexif,"[{""name"":libexif,""pkgman"":VCPKG},{""name"":libexif,""pkgman"":Chromebrew},{""name"":libexif,""pkgman"":Conan},{""name"":libexif,""pkgman"":Homebrew}]",4,
libfabric,"[{""name"":libfabric,""pkgman"":VCPKG},{""name"":libfabric,""pkgman"":Cargo},{""name"":libfabric,""pkgman"":Conan},{""name"":libfabric,""pkgman"":Homebrew}]",4,
libffi,"[{""name"":libffi,""pkgman"":VCPKG},{""name"":libffi,""pkgman"":Cargo},{""name"":libffi,""pkgman"":Chromebrew},{""name"":libffi,""pkgman"":Conan},{""name"":libffi,""pkgman"":Homebrew},{""name"":libffi,""pkgman"":Nimble}]",6,
libfido2,"[{""name"":libfido2,""pkgman"":VCPKG},{""name"":libfido2,""pkgman"":Homebrew}]",2,
libfreenect2,"[{""name"":libfreenect2,""pkgman"":VCPKG},{""name"":libfreenect2,""pkgman"":Conan}]",2,
libftdi,"[{""name"":libftdi,""pkgman"":VCPKG},{""name"":libftdi,""pkgman"":Conan},{""name"":libftdi,""pkgman"":Homebrew}]",3,
libftdi1,"[{""name"":libftdi1,""pkgman"":VCPKG},{""name"":libftdi1,""pkgman"":Alire}]",2,
libgcrypt,"[{""name"":libgcrypt,""pkgman"":VCPKG},{""name"":libgcrypt,""pkgman"":Chromebrew},{""name"":libgcrypt,""pkgman"":Conan},{""name"":libgcrypt,""pkgman"":Homebrew},{""name"":libgcrypt,""pkgman"":Nimble}]",5,
libgd,"[{""name"":libgd,""pkgman"":VCPKG},{""name"":libgd,""pkgman"":Chromebrew},{""name"":libgd,""pkgman"":Conan}]",3,
libgeotiff,"[{""name"":libgeotiff,""pkgman"":VCPKG},{""name"":libgeotiff,""pkgman"":Chromebrew},{""name"":libgeotiff,""pkgman"":Conan},{""name"":libgeotiff,""pkgman"":Homebrew}]",4,
libgit2,"[{""name"":libgit2,""pkgman"":VCPKG},{""name"":libgit2,""pkgman"":Chromebrew},{""name"":libgit2,""pkgman"":Conan},{""name"":libgit2,""pkgman"":Homebrew},{""name"":libgit2,""pkgman"":Nimble}]",5,
libgnutls,"[{""name"":libgnutls,""pkgman"":VCPKG},{""name"":libgnutls,""pkgman"":Alire}]",2,
